Rank,Institutions,City,State,Int'l Students,Latitude,Longitude
1,New York University,New York,NY,21081,40.729513,-73.996461
2,Northeastern University - Boston,Boston,MA,17836,42.339806,-71.088319
3,Columbia University,New York,NY,16956,40.807536,-73.962572
4,University of Southern California,Los Angeles,CA,15729,34.02236,-118.287256
5,Arizona State University - Campus Immersion,Tempe,AZ,15293,33.419375,-111.934359
6,University of Illinois - Urbana-Champaign,Champaign,IL,12833,40.102045,-88.227197
7,Boston University,Boston,MA,11798,42.350499,-71.105399
8,University of California - San Diego,La Jolla,CA,11279,32.878803,-117.235912
9,Purdue University - West Lafayette,West Lafayette,IN,11198,40.428182,-86.913843
10,University of California - Los Angeles,Los Angeles,CA,10990,34.068921,-118.445181
11,University of California - Berkeley,Berkeley,CA,10664,37.871522,-122.273042
12,University of Michigan - Ann Arbor,Ann Arbor,MI,9349,42.276875,-83.738213
13,Pennsylvania State University - University Park,University Park,PA,9313,40.797177,-77.860002
14,University of Washington,Seattle,WA,8682,47.655335,-122.303521
15,Carnegie Mellon University,Pittsburgh,PA,8196,40.443216,-79.94356
16,Georgia Institute of Technology,Atlanta,GA,8040,33.775617,-84.396284
17,Johns Hopkins University,Baltimore,MD,7893,39.329901,-76.6205
18,University of California - Irvine,Irvine,CA,7888,33.645016,-117.841504
19,University of Texas - Dallas,Richardson,TX,7741,32.985518,-96.750345
20,University of Wisconsin - Madison,Madison,WI,7686,43.076592,-89.412487
21,Cornell University,Ithaca,NY,7579,42.447342,-76.483158
22,University of California - Davis,Davis,CA,7505,38.538232,-121.761328
23,University of Pennsylvania,Philadelphia,PA,7400,39.952583,-75.190076
24,Texas A&M University - College Station,College Station,TX,7162,30.614598,-96.344957
25,SUNY University at Buffalo,Buffalo,NY,6723,43.000176,-78.787778
